,topic,query,rank,wid,batch,duration,EndDate,query_mean
53825209026,213,carpal tunnel syndrome,1,A1NM9PXZDCCQ1E,red,296,2022-02-12 17:10:29,1.9111111111111112
53929812579,213,carpal tunnel syndrome,1,A2VFEDAK5C1E1O,red,177,2022-02-10 01:59:44,1.9111111111111112
55585047286,213,carpal tunnel syndrome,1,A1JI19KPIVNL3Y,red,340,2022-02-14 00:11:16,1.9111111111111112
57343971708,213,carpal tunnel syndrome,1,A18HAAGXN14547,red,154,2022-02-12 14:46:41,1.9111111111111112
57883484137,213,carpal tunnel syndrome,1,A207IHY6GERCFO,red,366,2022-02-14 15:04:17,1.9111111111111112
57948679376,213,carpal tunnel syndrome,3,A3QUUPHBTNW5KG,red,304,2022-02-11 15:31:43,1.9111111111111112
60606928889,213,carpal tunnel syndrome,3,AK1Q45RF8A87Z,red,339,2022-02-13 03:42:25,1.9111111111111112
60832753977,213,carpal tunnel syndrome,4,A4D99Y82KOLC8,red,152,2022-02-14 14:30:47,1.9111111111111112
61180804627,213,carpal tunnel syndrome,1,A1H7XQCN2TQJM7,red,246,2022-02-12 15:04:22,1.9111111111111112
62305674117,213,carpal tunnel syndrome,1,A3BLJ6QSDTZC9U,red,214,2022-02-12 05:50:07,1.9111111111111112
62450082050,213,carpal tunnel syndrome,1,A5A14MTB35J23,red,275,2022-02-14 15:01:58,1.9111111111111112
62583433750,213,carpal tunnel syndrome,2,A2R28HXAEFKBPC,red,380,2022-02-12 06:24:19,1.9111111111111112
62940897152,213,carpal tunnel syndrome,3,A14KDNZSWDFIE7,red,612,2022-02-14 15:21:07,1.9111111111111112
63771188678,213,carpal tunnel syndrome,3,AM2KK02JXXW48,red,312,2022-02-14 14:42:39,1.9111111111111112
64187163945,213,carpal tunnel syndrome,1,A3V3SQCM8QGYB7,red,268,2022-02-14 14:30:32,1.9111111111111112
64529795213,213,carpal tunnel syndrome,3,A1198W1SPF1R4,red,598,2022-02-14 14:46:42,1.9111111111111112
66614099501,213,carpal tunnel syndrome,2,A2IEWBVCH5DAKB,red,456,2022-02-12 03:26:27,1.9111111111111112
67858184527,213,carpal tunnel syndrome,3,ACM3TPZKLE7WC,red,330,2022-02-13 03:23:16,1.9111111111111112
68393256873,213,carpal tunnel syndrome,2,AJQGWGESKQT4Y,red,195,2022-02-14 14:30:03,1.9111111111111112
68447514881,213,carpal tunnel syndrome,1,A1ARYQXUB85OAY,red,375,2022-02-11 04:11:43,1.9111111111111112
70663503708,213,carpal tunnel syndrome,3,A20ASMCESA51U4,red,430,2022-02-13 10:17:00,1.9111111111111112
70898484915,213,carpal tunnel syndrome,3,A2PHGLSGMX3PWZ,red,292,2022-02-13 20:42:07,1.9111111111111112
71279405744,213,carpal tunnel syndrome,1,A1JTIHM006U9WM,red,221,2022-02-09 21:56:47,1.9111111111111112
71464584972,213,carpal tunnel syndrome,2,A3L4JI1S352HB8,red,190,2022-02-13 00:23:56,1.9111111111111112
73882007172,213,carpal tunnel syndrome,3,A2YIB84VKYNKWD,red,358,2022-02-13 04:35:26,1.9111111111111112
76168386279,213,carpal tunnel syndrome,1,AKVDY8OXNMQED,red,270,2022-02-14 10:40:18,1.9111111111111112
76939266331,213,carpal tunnel syndrome,1,A2IP3ZAFYGV8M9,red,176,2022-02-14 14:31:17,1.9111111111111112
77089664537,213,carpal tunnel syndrome,2,A1CH3TODZNQCES,red,221,2022-02-11 16:21:04,1.9111111111111112
77160508823,213,carpal tunnel syndrome,2,A1T9BJRS4IL8VQ,red,155,2022-02-12 20:52:15,1.9111111111111112
78669812374,213,carpal tunnel syndrome,3,A3ROADR7T6811,red,1279,2022-02-14 14:20:25,1.9111111111111112
79020814921,213,carpal tunnel syndrome,1,A2NKW6JBEM4LL4,red,223,2022-02-14 14:31:57,1.9111111111111112
80090468309,213,carpal tunnel syndrome,2,A1FA3QRISJ1RIP,red,464,2022-02-12 18:11:37,1.9111111111111112
81249084305,213,carpal tunnel syndrome,2,AKQAI78JTXXC9,red,140,2022-02-09 13:06:55,1.9111111111111112
81686870353,213,carpal tunnel syndrome,2,A22ON3MIIG0IJA,red,290,2022-02-11 13:06:14,1.9111111111111112
81810992886,213,carpal tunnel syndrome,2,A2LDVDDTFY3LQ9,red,461,2022-02-11 16:34:17,1.9111111111111112
85301543003,213,carpal tunnel syndrome,2,A1NIKHUA79SWGD,red,144,2022-02-14 14:32:41,1.9111111111111112
87131918938,213,carpal tunnel syndrome,2,A15LPXZLC6NUHT,red,299,2022-02-13 14:14:41,1.9111111111111112
87418143393,213,carpal tunnel syndrome,1,A3O5RKGH6VB19C,red,110,2022-02-14 14:26:42,1.9111111111111112
87550955025,213,carpal tunnel syndrome,1,A1AIMKA54UBYIQ,red,198,2022-02-14 14:30:16,1.9111111111111112
88725209033,213,carpal tunnel syndrome,1,A14LXHJAWRQWR6,red,199,2022-02-14 15:06:18,1.9111111111111112
